Address,Street,COMMON,x,y
835,JACK ST,tree of heaven,-8527045.65838784,4754832.021579378
504,E JEFFREY ST,tree of heaven,-8527537.939636687,4755224.091846302
3800,LEADENHALL ST,tree of heaven,-8528599.800029544,4755627.190877147
1301,E PATAPSCO AVE,tree of heaven,-8526205.111805292,4755072.425474874
3725,FAIRHAVEN AVE,tree of heaven,-8526006.708662271,4754786.154561393
1301,E PATAPSCO AVE,tree of heaven,-8526205.64087355,4755077.717138714
1507,PLUM ST,tree of heaven,-8525913.105366321,4754416.893664681
3725,FAIRHAVEN AVE,tree of heaven,-8526006.285336703,4754788.271263215
424,WINSTON AVE,tree of heaven,-8528297.221030816,4771941.118690313
401,E COLD SPRING LANE,tree of heaven,-8528254.08832383,4771356.00542511
4125,AUDREY AVE,tree of heaven,-8527529.301240692,4754664.36620556
441,ROSEBANK AVE,tree of heaven,-8528340.03867743,4773794.4349715095
4712,CLUB ROAD,tree of heaven,-8531848.003448557,4772296.97729974
4712,CLUB ROAD,tree of heaven,-8531844.563848471,4772266.823638501
4712,CLUB ROAD,tree of heaven,-8531844.105249658,4772265.791725368
226,N GREENE ST,tree of heaven,-8529780.578112705,4763673.056133813
3834,10TH ST,tree of heaven,-8526779.234070206,4754886.238038403
4712,CLUB ROAD,tree of heaven,-8531847.659551308,4772294.913515138
4712,CLUB ROAD,tree of heaven,-8531751.678348253,4771832.860965864
4712,CLUB ROAD,tree of heaven,-8531756.4938213,4771838.875821018
4712,CLUB ROAD,tree of heaven,-8531755.805809623,4771840.939474719
4712,CLUB ROAD,tree of heaven,-8531791.233496362,4771998.128420617
4712,CLUB ROAD,tree of heaven,-8531817.145053161,4772110.946642257
536,PONTIAC AVE,tree of heaven,-8527454.159225067,4755465.037133118
201,REEDBIRD AVE,tree of heaven,-8528986.362722492,4757156.087386335
5901,N CHARLES ST,tree of heaven,-8529946.44487328,4774780.27998059
500,PONTIAC AVE,tree of heaven,-8527540.689334743,4755514.973261832
500,PONTIAC AVE,tree of heaven,-8527541.641877208,4755513.465046162
5901,N CHARLES ST,tree of heaven,-8529958.717086716,4774923.39439432
4909,FALLS ROAD TERR,tree of heaven,-8531845.939962443,4772305.404495516
3819,S HANOVER ST,tree of heaven,-8528242.227030592,4755515.106098451
1200,TOWSON ST,tree of heaven,-8525999.978971839,4760741.30639513
1200,TOWSON ST,tree of heaven,-8525999.66152166,4760742.655670312
201,REEDBIRD AVE,tree of heaven,-8528814.789229987,4757375.944872042
201,REEDBIRD AVE,tree of heaven,-8528811.138061706,4757376.182966796
201,REEDBIRD AVE,tree of heaven,-8528812.090476979,4757373.563512849
201,REEDBIRD AVE,tree of heaven,-8528943.950956484,4757260.71015412
201,CHESAPEAKE AVE,tree of heaven,-8527837.466858631,4756160.385703581
201,CHESAPEAKE AVE,tree of heaven,-8527835.641335344,4756160.147614078
201,CHESAPEAKE AVE,tree of heaven,-8527830.561260806,4756158.956929287
3505,4TH ST,tree of heaven,-8527499.463458436,4755958.190972195
3505,4TH ST,tree of heaven,-8527498.475685114,4755960.589825443
3701,S HANOVER ST,tree of heaven,-8528165.598622981,4755722.3483980745
3724,2ND ST,tree of heaven,-8528164.910229646,4755576.834819253
601,CHESAPEAKE AVE,tree of heaven,-8527121.45686,4756061.571837574
601,CHESAPEAKE AVE,tree of heaven,-8527121.959508259,4756073.13410483
500,BALTIC AVE,tree of heaven,-8527289.587932209,4756156.101672078
500,BALTIC AVE,tree of heaven,-8527288.794106932,4756158.244792813
212,MAUDE AVE,tree of heaven,-8527681.753024759,4756139.604174226
204,MAUDE AVE,tree of heaven,-8527714.409454372,4756137.543305401
5901,N CHARLES ST,tree of heaven,-8529829.838956192,4774838.728929521
5901,N CHARLES ST,tree of heaven,-8529930.81806277,4774782.852398645
3437,6TH ST,tree of heaven,-8527161.355896361,4755984.82939491
3426,6TH ST,tree of heaven,-8527167.527687281,4756123.180578557
3439,6TH ST,tree of heaven,-8527164.742563693,4755975.374933912
3439,6TH ST,tree of heaven,-8527163.108247727,4755965.29318048
2913,WATERVIEW AVE,tree of heaven,-8530370.826118875,4758635.731187028
