"ID","LST_Day_1km","QC_Day","Day_view_time","Day_view_angl","LST_Night_1km","QC_Night","Night_view_time","Night_view_angl","Emis_31","Emis_32","Clear_day_cov","Clear_night_cov","filename"
5,309.481428571429,81,10.2,-58.1428571428571,293.855,83.7142857142857,22.2,19,0.97,0.976,1.84692857142857,0.5978125,"2021159113241.hdf"
6,307.586666666667,73.8888888888889,10.2,-58.1555555555556,293.397777777778,59.2,22.2,19,0.970444444444444,0.976444444444444,1.87606666666667,0.757083333333333,"2021159113241.hdf"
7,308.703333333333,70.0384615384615,10.2533333333333,-53.9333333333333,293.710526315789,80.9375,22.2,19.0526315789474,0.972533333333334,0.975933333333333,1.1401,0.616447368421053,"2021159113241.hdf"
8,310.162222222222,52.5555555555556,10.2,-58.6666666666667,294.545,95.3333333333333,22.2,19,0.972888888888889,0.976,1.013,0.4824375,"2021159113241.hdf"
9,306.3795,72.3513513513514,10.2,-59,NA,2,NA,NA,0.97185,0.97745,1.83475,NA,"2021159113241.hdf"
1,314.136842105263,77.2352941176471,10.9,-0.947368421052632,296.02,84.7894736842105,22.9,64,0.970421052631579,0.976315789473684,0.976973684210526,1.57063636363636,"2021159175439.hdf"
2,312.616818181818,55.2857142857143,10.9,-0.204545454545455,295.25052631579,100,22.9,64.1842105263158,0.980409090909091,0.981863636363636,0.898136363636364,1.66068421052632,"2021159175439.hdf"
3,316.458181818182,81,10.9,-0.727272727272727,296.949090909091,145,22.9,64,0.970181818181818,0.976,0.9975,1.75045454545455,"2021159175439.hdf"
4,312.798378378378,74.8064516129032,10.9,-0.72972972972973,296.460689655172,114.081081081081,22.9,64,0.971621621621621,0.977351351351351,0.990986486486486,1.77524137931034,"2021159175439.hdf"
5,316.412857142857,81,10.9,0,296.691428571429,145,22.9,64.8571428571429,0.97,0.976,0.99275,1.99982142857143,"2021159175439.hdf"
6,313.877777777778,72.0697674418605,10.9,0,296.479375,103.688888888889,22.9,65,0.970488888888888,0.976355555555555,0.989133333333333,1.81809375,"2021159175439.hdf"
7,315.276551724138,69.258064516129,10.9,0.0344827586206897,296.198571428571,125.15625,22.9,65,0.971586206896552,0.976758620689655,0.854948275862069,1.92271428571429,"2021159175439.hdf"
8,316.897777777778,73,10.9,0,296.948888888889,145,22.9,64.2222222222222,0.974888888888889,0.979111111111111,0.970166666666667,2.08666666666667,"2021159175439.hdf"
9,312.575,63.7027027027027,10.9,-1,296.30275862069,105.675,22.9,64,0.971399999999999,0.97705,0.9921375,0.903758620689655,"2021159175439.hdf"
1,NA,2,NA,NA,298.050526315789,81,22,-4,0.970315789473684,0.976105263157894,NA,0.995157894736842,"2021159183726.hdf"
2,NA,2.04347826086957,NA,NA,297.028888888889,39.0697674418605,22,-3.85185185185185,0.979481481481481,0.981333333333334,NA,0.738037037037037,"2021159183726.hdf"
3,NA,2,NA,NA,298.081818181818,81,22,-4,0.97,0.976,NA,0.972227272727273,"2021159183726.hdf"
4,NA,2,NA,NA,297.411351351351,61,22,-3.94594594594595,0.971675675675675,0.977351351351351,NA,0.963432432432433,"2021159183726.hdf"
5,NA,2,NA,NA,298.441428571429,81,22,-3.28571428571429,0.97,0.976,NA,0.910178571428572,"2021159183726.hdf"
6,NA,2,NA,NA,297.242380952381,75.6136363636364,22,-3.04761904761905,0.97047619047619,0.97647619047619,NA,0.916619047619048,"2021159183726.hdf"
7,NA,2.03125,NA,NA,298.3725,63.28125,22,-3,0.970416666666666,0.97625,NA,0.685375,"2021159183726.hdf"
8,NA,2,NA,NA,298.54,75.6666666666667,22,-4,0.974222222222222,0.978666666666667,NA,0.785777777777778,"2021159183726.hdf"
9,NA,2,NA,NA,297.6715,51.2857142857143,22,-4,0.9715,0.9771,NA,0.933875,"2021159183726.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
7,NA,2.03125,NA,NA,NA,2.03125,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
9,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021160094534.hdf"
1,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
2,NA,2.04347826086957,NA,NA,NA,2.04347826086957,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
3,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
4,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
5,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
6,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,"2021161093507.hdf"
