"daytime","policeDistrict","date","actual_date","year","doy","temp_K","callscount","temp_F","UTCI"
0,"Central","2021-10-12",2021284,2021,284,285.908888888889,1,54.9660000000003,291.779972076416
0,"Central","2021-10-13",2021285,2021,285,289.726666666667,0,61.8380000000006,294.334981282552
0,"Central","2021-10-14",2021286,2021,286,287.468,0,57.7724000000001,294.821736653646
0,"Central","2021-10-15",2021287,2021,287,290.484444444444,0,63.2019999999993,295.01829401652
0,"Central","2021-10-17",2021289,2021,289,293.1875,0,68.0675000000001,279.708745320638
0,"Central","2021-10-18",2021290,2021,290,286.425714285714,0,55.8962857142852,278.644400278727
0,"Central","2021-10-19",2021291,2021,291,283.502857142857,0,50.6351428571427,282.63768641154
0,"Central","2021-10-20",2021292,2021,292,282.935555555556,0,49.6140000000008,285.879589080811
0,"Central","2021-10-21",2021293,2021,293,286.402857142857,0,55.8551428571426,288.425985972087
0,"Central","2021-10-22",2021294,2021,294,286.695555555556,0,56.3820000000008,287.156871795654
0,"Central","2021-10-23",2021295,2021,295,289.39,0,61.232,286.347023010254
0,"Central","2021-10-24",2021296,2021,296,286.08,0,55.274,284.384986877441
0,"Central","2021-10-26",2021298,2021,298,287.372,0,57.5996000000001,283.297477722168
0,"Central","2021-10-29",2021301,2021,301,285.764444444444,0,54.7059999999992,277.399473826091
0,"Central","2021-11-02",2021305,2021,305,283.582222222222,0,50.7779999999997,277.920374552409
0,"Central","2021-11-04",2021307,2021,307,279.208888888889,0,42.9060000000003,278.419490814209
0,"Central","2021-11-05",2021308,2021,308,275.04,0,35.4020000000001,275.840326944987
0,"Central","2021-11-06",2021309,2021,309,276.644444444444,0,38.2899999999992,276.070574442546
0,"Central","2021-11-07",2021310,2021,310,275.233333333333,0,35.7499999999995,277.325790405273
0,"Central","2021-11-08",2021311,2021,311,276.38,0,37.814,278.587590535482
0,"Central","2021-11-09",2021312,2021,312,278.482222222222,0,41.5979999999996,282.98842493693
0,"Central","2021-11-10",2021313,2021,313,281.686666666667,0,47.3660000000007,284.230913798014
0,"Central","2021-11-11",2021314,2021,314,281.14,0,46.382,281.560609181722
0,"Central","2021-11-12",2021315,2021,315,283.0875,0,49.8875,282.728391011556
0,"Central","2021-11-14",2021317,2021,317,281.026666666667,0,46.1780000000006,271.790121714274
0,"Central","2021-11-15",2021318,2021,318,276.622222222222,0,38.2499999999996,269.214514414469
0,"Central","2021-11-17",2021320,2021,320,274.873333333333,0,35.1019999999994,277.797342936198
0,"Central","2021-11-19",2021322,2021,322,281.884444444444,0,47.7219999999992,268.412006378174
0,"Central","2021-11-21",2021324,2021,324,274.386666666667,0,34.2260000000006,275.200106302897
0,"Central","2021-11-22",2021325,2021,325,274.36,0,34.1780000000001,273.816410064697
0,"Central","2021-11-24",2021327,2021,327,274.337777777778,0,34.1380000000004,270.970586140951
0,"Central","2021-11-25",2021328,2021,328,272.422222222222,0,30.6899999999996,274.98105875651
0,"Central","2021-11-28",2021331,2021,331,265.82,0,18.806,276.987335205078
0,"Central","2021-12-01",2021334,2021,334,274.826666666667,0,35.0180000000006,274.929978688558
0,"Central","2021-12-02",2021335,2021,335,272.822222222222,0,31.4099999999997,277.142862955729
0,"Central","2021-12-04",2021337,2021,337,284.262222222222,0,52.0019999999997,280.615065256755
0,"Central","2021-12-05",2021338,2021,338,268.68,0,23.9540000000001,274.021817525228
0,"Central","2021-12-06",2021339,2021,339,277.711111111111,0,40.2099999999998,278.548739115397
0,"Central","2021-12-10",2021343,2021,343,274.028888888889,0,33.5820000000003,272.52845509847
0,"Central","2021-12-14",2021347,2021,347,274.211111111111,0,33.9099999999998,274.667823791504
0,"Central","2021-12-16",2021349,2021,349,276.308888888889,0,37.6860000000002,276.920748392741
0,"Central","2021-12-17",2021350,2021,350,279.012,0,42.5516,279.001234690348
0,"Central","2021-12-21",2021354,2021,354,272.744444444444,0,31.2699999999993,269.956106821696
0,"Central","2021-12-22",2021355,2021,355,271.48,0,28.9940000000001,270.151926676432
0,"Central","2021-12-24",2021357,2021,357,271.811111111111,0,29.5899999999999,271.469585418701
0,"Central","2021-12-28",2021361,2021,361,276.977777777778,0,38.8900000000004,275.675390879313
0,"Central","2021-12-29",2021362,2021,362,277.04,0,39.0020000000001,280.142280578613
0,"Central","2022-01-01",2021365,2021,365,279.717142857143,0,43.8208571428575,282.527782440186
0,"Central","2022-01-05",2022004,2022,4,269.653333333333,0,25.7059999999995,264.649445851644
0,"Central","2022-01-06",2022005,2022,5,271.1025,0,28.3145000000001,268.40559387207
0,"Central","2022-01-09",2022008,2022,8,267.15,0,21.2,261.275979995728
0,"Central","2022-01-10",2022009,2022,9,269.233333333333,0,24.9499999999995,261.234766642253
0,"Central","2022-01-12",2022011,2022,11,268.411111111111,0,23.4699999999998,262.988801956177
0,"Central","2022-01-13",2022012,2022,12,267.055555555556,0,21.0300000000008,272.591492970784
0,"Central","2022-01-16",2022015,2022,15,270.806666666667,0,27.7820000000007,258.417695999146
0,"Central","2022-01-17",2022016,2022,16,264.797777777778,0,16.9660000000004,258.655281702677
0,"Central","2022-01-20",2022019,2022,19,269.973333333333,0,26.2819999999995,266.870058059692
0,"Central","2022-01-21",2022020,2022,20,262.457142857143,0,12.7528571428575,256.11311340332
0,"Central","2022-01-22",2022021,2022,21,269.044444444444,0,24.6099999999993,263.711957931519
0,"Central","2022-01-27",2022026,2022,26,265.14,0,17.582,265.579186121623
