"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"04/22/2021","AQS","245100040","1","4.2","ug/m3 LC","23","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"04/25/2021","AQS","245100040","1","7","ug/m3 LC","39","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"04/28/2021","AQS","245100040","1","10.8","ug/m3 LC","54","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/01/2021","AQS","245100040","1","2.8","ug/m3 LC","16","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/04/2021","AQS","245100040","1","5.4","ug/m3 LC","30","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/07/2021","AQS","245100040","1","4.1","ug/m3 LC","23","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/10/2021","AQS","245100040","1","2.5","ug/m3 LC","14","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/13/2021","AQS","245100040","1","4.3","ug/m3 LC","24","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/16/2021","AQS","245100040","1","6","ug/m3 LC","33","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/19/2021","AQS","245100040","1","9.3","ug/m3 LC","51","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/22/2021","AQS","245100040","1","10.4","ug/m3 LC","53","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/25/2021","AQS","245100040","1","6.9","ug/m3 LC","38","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/28/2021","AQS","245100040","1","5.2","ug/m3 LC","29","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"05/31/2021","AQS","245100040","1","5.2","ug/m3 LC","29","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/03/2021","AQS","245100040","1","4.5","ug/m3 LC","25","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/06/2021","AQS","245100040","1","13.2","ug/m3 LC","59","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/09/2021","AQS","245100040","1","10.1","ug/m3 LC","53","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/12/2021","AQS","245100040","1","5.5","ug/m3 LC","31","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/15/2021","AQS","245100040","1","4.8","ug/m3 LC","27","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/18/2021","AQS","245100040","1","8.7","ug/m3 LC","48","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/21/2021","AQS","245100040","1","9","ug/m3 LC","50","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/24/2021","AQS","245100040","1","5.8","ug/m3 LC","32","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
"06/27/2021","AQS","245100040","1","7.2","ug/m3 LC","40","Oldtown","1","100.0000","88101","PM2.5 - Local Conditions","145","R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC","12580","Baltimore-Columbia-Towson, MD","24","Maryland","510","Baltimore (City)","39.297733","-76.604603"
